AdvertiserID,Auction,Impression,Click,Conversion,Cost,Win-Rate,CPM,eCPC,CTR,CVR
0,155460,34582,1167,40,21233.547,0.22244950469574168,614.0057544387253,18.194984575835473,0.03374587935920421,0.03427592116538132
1,65983,21703,560,33,9862.532,0.3289180546504403,454.4317375478044,17.611664285714284,0.0258028843938626,0.05892857142857143
2,56739,38593,404,24,15297.582,0.6801847054054531,396.38229730780193,37.86530198019802,0.010468219625320654,0.0594059405940594
3,543,0,6,1,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
4,1198,9,0,0,0.007,0.007512520868113523,0.7777777777777778,0.0,0.0,0.0
5,33062,154,4,0,12.176,0.004657915431613332,79.06493506493506,3.044,0.025974025974025976,0.0
6,33,1,0,0,0.001,0.030303030303030304,1.0,0.0,0.0,0.0
7,31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,246,3,0,0,0.006,0.012195121951219513,2.0,0.0,0.0,0.0
9,40,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,45,1,0,0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0
11,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15,215,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,1234,9,0,0,0.0,0.007293354943273906,0.0,0.0,0.0,0.0
17,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,162,27,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
21,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
23,78,1,0,0,0.002,0.01282051282051282,2.0,0.0,0.0,0.0
24,218,1,0,0,0.002,0.0045871559633027525,2.0,0.0,0.0,0.0
25,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
27,158,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,33,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31,169,3,1,0,0.002,0.01775147928994083,0.6666666666666666,0.002,0.3333333333333333,0.0
32,291,3,0,0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0
33,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
34,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
35,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
36,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
37,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
38,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,230,6,0,0,0.012,0.02608695652173913,2.0,0.0,0.0,0.0
40,285,1,0,0,0.0,0.0035087719298245615,0.0,0.0,0.0,0.0
41,54,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
42,38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
